Team;Round;Question;Point
In MUST We Trust;durante_Ling 101 round;1;1
In MUST We Trust;durante_Ling 101 round;2;0
In MUST We Trust;durante_Ling 101 round;3;1
In MUST We Trust;durante_Ling 101 round;4;1
In MUST We Trust;durante_Ling 101 round;5;1
In MUST We Trust;durante_Ling 101 round;6;0
In MUST We Trust;durante_Ling 101 round;7;1
In MUST We Trust;durante_Ling 101 round;8;1
In MUST We Trust;durante_Ling 101 round;9;1
In MUST We Trust;durante_Ling 101 round;10;1
Kaminsky Kanpai;durante_Ling 101 round;1;1
Kaminsky Kanpai;durante_Ling 101 round;2;0
Kaminsky Kanpai;durante_Ling 101 round;3;0
Kaminsky Kanpai;durante_Ling 101 round;4;1
Kaminsky Kanpai;durante_Ling 101 round;5;1
Kaminsky Kanpai;durante_Ling 101 round;6;1
Kaminsky Kanpai;durante_Ling 101 round;7;1
Kaminsky Kanpai;durante_Ling 101 round;8;1
Kaminsky Kanpai;durante_Ling 101 round;9;1
Kaminsky Kanpai;durante_Ling 101 round;10;1
The variation constellation;durante_Ling 101 round;1;1
The variation constellation;durante_Ling 101 round;2;1
The variation constellation;durante_Ling 101 round;3;1
The variation constellation;durante_Ling 101 round;4;1
The variation constellation;durante_Ling 101 round;5;1
The variation constellation;durante_Ling 101 round;6;1
The variation constellation;durante_Ling 101 round;7;0
The variation constellation;durante_Ling 101 round;8;1
The variation constellation;durante_Ling 101 round;9;1
The variation constellation;durante_Ling 101 round;10;1
The Long Lunch Committee;durante_Ling 101 round;1;1
The Long Lunch Committee;durante_Ling 101 round;2;1
The Long Lunch Committee;durante_Ling 101 round;3;1
The Long Lunch Committee;durante_Ling 101 round;4;0
The Long Lunch Committee;durante_Ling 101 round;5;0
The Long Lunch Committee;durante_Ling 101 round;6;1
The Long Lunch Committee;durante_Ling 101 round;7;1
The Long Lunch Committee;durante_Ling 101 round;8;1
The Long Lunch Committee;durante_Ling 101 round;9;0
The Long Lunch Committee;durante_Ling 101 round;10;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;1;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;2;0
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;3;0
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;4;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;5;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;6;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;7;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;8;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;9;1
Vettige Sjwa en de diminutiefjes;durante_Ling 101 round;10;1
Die van Campus Brussel;durante_Ling 101 round;1;1
Die van Campus Brussel;durante_Ling 101 round;2;1
Die van Campus Brussel;durante_Ling 101 round;3;0
Die van Campus Brussel;durante_Ling 101 round;4;1
Die van Campus Brussel;durante_Ling 101 round;5;0
Die van Campus Brussel;durante_Ling 101 round;6;1
Die van Campus Brussel;durante_Ling 101 round;7;1
Die van Campus Brussel;durante_Ling 101 round;8;1
Die van Campus Brussel;durante_Ling 101 round;9;1
Die van Campus Brussel;durante_Ling 101 round;10;1
Error 404;durante_Ling 101 round;1;1
Error 404;durante_Ling 101 round;2;1
Error 404;durante_Ling 101 round;3;1
Error 404;durante_Ling 101 round;4;0
Error 404;durante_Ling 101 round;5;1
Error 404;durante_Ling 101 round;6;1
Error 404;durante_Ling 101 round;7;1
Error 404;durante_Ling 101 round;8;0
Error 404;durante_Ling 101 round;9;1
Error 404;durante_Ling 101 round;10;1
In MUST We Trust;Earlier, later, or same day round;1;1
In MUST We Trust;Earlier, later, or same day round;2;1
In MUST We Trust;Earlier, later, or same day round;3;1
In MUST We Trust;Earlier, later, or same day round;4;0
In MUST We Trust;Earlier, later, or same day round;5;1
In MUST We Trust;Earlier, later, or same day round;6;1
In MUST We Trust;Earlier, later, or same day round;7;1
In MUST We Trust;Earlier, later, or same day round;8;1
In MUST We Trust;Earlier, later, or same day round;9;0
In MUST We Trust;Earlier, later, or same day round;10;0
Kaminsky Kanpai;Earlier, later, or same day round;1;1
Kaminsky Kanpai;Earlier, later, or same day round;2;1
Kaminsky Kanpai;Earlier, later, or same day round;3;1
Kaminsky Kanpai;Earlier, later, or same day round;4;0
Kaminsky Kanpai;Earlier, later, or same day round;5;1
Kaminsky Kanpai;Earlier, later, or same day round;6;1
Kaminsky Kanpai;Earlier, later, or same day round;7;1
Kaminsky Kanpai;Earlier, later, or same day round;8;1
Kaminsky Kanpai;Earlier, later, or same day round;9;1
Kaminsky Kanpai;Earlier, later, or same day round;10;1
The variation constellation;Earlier, later, or same day round;1;1
The variation constellation;Earlier, later, or same day round;2;1
The variation constellation;Earlier, later, or same day round;3;1
The variation constellation;Earlier, later, or same day round;4;0
The variation constellation;Earlier, later, or same day round;5;1
The variation constellation;Earlier, later, or same day round;6;0
The variation constellation;Earlier, later, or same day round;7;1
The variation constellation;Earlier, later, or same day round;8;1
The variation constellation;Earlier, later, or same day round;9;0
The variation constellation;Earlier, later, or same day round;10;1
The Long Lunch Committee;Earlier, later, or same day round;1;1
The Long Lunch Committee;Earlier, later, or same day round;2;1
The Long Lunch Committee;Earlier, later, or same day round;3;1
The Long Lunch Committee;Earlier, later, or same day round;4;0
The Long Lunch Committee;Earlier, later, or same day round;5;1
The Long Lunch Committee;Earlier, later, or same day round;6;0
The Long Lunch Committee;Earlier, later, or same day round;7;1
The Long Lunch Committee;Earlier, later, or same day round;8;1
The Long Lunch Committee;Earlier, later, or same day round;9;0
The Long Lunch Committee;Earlier, later, or same day round;10;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;1;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;2;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;3;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;4;0
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;5;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;6;0
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;7;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;8;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;9;1
Vettige Sjwa en de diminutiefjes;Earlier, later, or same day round;10;1
Die van Campus Brussel;Earlier, later, or same day round;1;1
Die van Campus Brussel;Earlier, later, or same day round;2;1
Die van Campus Brussel;Earlier, later, or same day round;3;0
Die van Campus Brussel;Earlier, later, or same day round;4;0
Die van Campus Brussel;Earlier, later, or same day round;5;1
Die van Campus Brussel;Earlier, later, or same day round;6;1
Die van Campus Brussel;Earlier, later, or same day round;7;1
